epoch,time,train/box,train/seg,train/cls,train/dfl,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box,val/seg,val/cls,val/dfl,lr/pg0,lr/pg1,lr/pg2
1,3907.42,3.12678,5.25264,5.1438,3.49365,0.00041,0.01726,0.00031,0.00013,0.00034,0.01122,0.00024,0.0001,2.86078,4.74277,inf,2.8679,9.9993e-06,9.9993e-06,9.9993e-06
2,7654.02,2.32896,4.18895,4.13253,2.29159,0.23636,0.01011,0.00194,0.00116,0.23231,0.00853,0.00171,0.00098,nan,nan,nan,nan,1.99597e-05,1.99597e-05,1.99597e-05
3,11350.6,1.98909,3.7303,3.60486,1.90492,0.30935,0.01211,0.00383,0.00244,0.309,0.01077,0.00344,0.00215,2.16067,3.9944,inf,2.04199,2.98805e-05,2.98805e-05,2.98805e-05
4,15023.9,1.82002,3.45052,3.2667,1.74775,0.41146,0.01296,0.00573,0.00396,0.41075,0.01187,0.00537,0.00355,2.06223,3.86109,4.83969,1.95047,3.97617e-05,3.97617e-05,3.97617e-05
5,3745.9,1.86595,3.51656,3.33774,1.79078,0.38898,0.0137,0.00601,0.00384,0.39225,0.01234,0.0056,0.00321,2.0084,3.79116,4.78476,1.90318,4.96033e-05,4.96033e-05,4.96033e-05
6,7457.18,1.71695,3.2697,3.02082,1.66102,0.37737,0.0145,0.00703,0.00467,0.38312,0.01308,0.00663,0.00406,1.94618,3.70941,4.56196,1.8532,5.94053e-05,5.94053e-05,5.94053e-05
7,11133.1,1.62538,3.11824,2.82643,1.59079,0.38649,0.01501,0.00795,0.00536,0.38691,0.0143,0.00754,0.0046,1.88986,3.63015,4.31811,1.81225,6.91677e-05,6.91677e-05,6.91677e-05
8,14904.9,1.56465,3.01067,2.68455,1.54088,0.40538,0.01602,0.00918,0.00623,0.40625,0.01523,0.00877,0.00544,1.83983,3.55309,4.0909,1.77643,7.88905e-05,7.88905e-05,7.88905e-05
9,18591.1,1.51168,2.91896,2.56848,1.49986,0.41828,0.01826,0.01098,0.00759,0.42136,0.01759,0.01051,0.00667,1.79477,3.48275,3.9194,1.74391,8.85737e-05,8.85737e-05,8.85737e-05
10,22263.6,1.46892,2.8443,2.47475,1.46772,0.44179,0.02045,0.01281,0.0088,0.44117,0.02001,0.01238,0.00787,1.75289,3.41731,3.77291,1.7131,9.82173e-05,9.82173e-05,9.82173e-05
11,25935.9,1.43048,2.77278,2.38732,1.44054,0.46138,0.0236,0.01512,0.01027,0.46082,0.02302,0.01456,0.00919,1.71206,3.35003,3.64419,1.68071,9.802e-05,9.802e-05,9.802e-05
12,29670.7,1.3982,2.71698,2.31713,1.41528,0.46069,0.0276,0.01806,0.0123,0.46128,0.02699,0.01749,0.01107,1.66883,3.27668,3.52797,1.64503,9.7822e-05,9.7822e-05,9.7822e-05
13,33467.8,1.3689,2.65829,2.24686,1.39441,0.47357,0.03323,0.02198,0.01507,0.47506,0.0323,0.02132,0.01362,1.62236,3.19591,3.42488,1.60531,9.7624e-05,9.7624e-05,9.7624e-05
14,37298,1.34387,2.61537,2.18972,1.37735,0.4849,0.04189,0.02692,0.01847,0.48405,0.04082,0.02608,0.01674,1.57246,3.11106,3.33786,1.56213,9.7426e-05,9.7426e-05,9.7426e-05
15,40974.5,1.32489,2.57826,2.13819,1.36056,0.48094,0.05155,0.03247,0.02261,0.48014,0.05011,0.03144,0.02054,1.52349,3.02387,3.26732,1.52006,9.7228e-05,9.7228e-05,9.7228e-05
16,44602.3,1.3042,2.53628,2.09687,1.34702,0.49848,0.05932,0.0396,0.0279,0.49767,0.05812,0.03848,0.02524,1.47646,2.93578,3.21199,1.47963,9.703e-05,9.703e-05,9.703e-05
17,48241.4,1.28593,2.50202,2.05605,1.33549,0.49862,0.06772,0.04645,0.03303,0.49975,0.06601,0.04524,0.02999,1.43296,2.85244,3.17788,1.44228,9.6832e-05,9.6832e-05,9.6832e-05
18,51879.2,1.26897,2.47292,2.0189,1.32383,0.51121,0.07394,0.05285,0.03798,0.51103,0.07272,0.05157,0.03449,1.39279,2.77407,3.16335,1.40818,9.6634e-05,9.6634e-05,9.6634e-05
19,3638.43,1.35397,2.6256,2.20627,1.3853,0.50445,0.08119,0.05785,0.04184,0.50468,0.07884,0.05636,0.03787,1.36071,2.70899,3.25147,1.38157,9.6436e-05,9.6436e-05,9.6436e-05
20,7274.24,1.32423,2.57352,2.13543,1.36077,0.50813,0.08797,0.06259,0.04535,0.51265,0.08456,0.06088,0.04093,1.33129,2.64881,3.32778,1.357,9.6238e-05,9.6238e-05,9.6238e-05
21,10914.4,1.29888,2.52603,2.08564,1.34589,0.51314,0.09481,0.06592,0.04772,0.51879,0.09058,0.06408,0.04291,1.3063,2.59743,3.39438,1.33684,9.604e-05,9.604e-05,9.604e-05
22,14548,1.28037,2.49325,2.03924,1.33278,0.50881,0.10097,0.07026,0.05111,0.51853,0.09671,0.0684,0.04578,1.28445,2.55232,3.44894,1.31943,9.5842e-05,9.5842e-05,9.5842e-05
23,18190,1.26643,2.46413,2.00694,1.32201,0.50378,0.10618,0.07468,0.05459,0.50985,0.10218,0.07285,0.04895,1.26439,2.5126,3.48946,1.30386,9.5644e-05,9.5644e-05,9.5644e-05
24,21928.1,1.25172,2.4346,1.9755,1.31017,0.50827,0.10598,0.07858,0.05785,0.51335,0.10184,0.07658,0.05173,1.24694,2.47731,3.51399,1.29016,9.5446e-05,9.5446e-05,9.5446e-05
25,25595,1.23611,2.40827,1.94116,1.30003,0.51156,0.10974,0.08222,0.06054,0.51331,0.10581,0.08021,0.05408,1.23014,2.44504,3.52464,1.27725,9.5248e-05,9.5248e-05,9.5248e-05
26,29224.4,1.22571,2.38607,1.9175,1.29213,0.51067,0.11539,0.08502,0.06243,0.51002,0.11222,0.08302,0.05577,1.21438,2.41578,3.52656,1.26579,9.505e-05,9.505e-05,9.505e-05
27,3956.31,1.27096,2.47127,2.02173,1.32653,0.50036,0.11824,0.08536,0.06261,0.50401,0.11459,0.0833,0.0557,1.20581,2.39923,3.60466,1.25969,9.4852e-05,9.4852e-05,9.4852e-05
28,7986.12,1.25859,2.44728,1.9885,1.31583,0.48735,0.12293,0.08665,0.06357,0.48979,0.11834,0.08451,0.05648,1.1978,2.38197,3.65897,1.2537,9.4654e-05,9.4654e-05,9.4654e-05
29,11815.2,1.24419,2.41889,1.95114,1.30291,0.49179,0.12405,0.08932,0.06577,0.49229,0.12079,0.08714,0.05848,1.18915,2.36412,3.70109,1.2473,9.4456e-05,9.4456e-05,9.4456e-05
30,15477.8,1.22851,2.39197,1.92431,1.29341,0.4857,0.12761,0.09169,0.0675,0.49107,0.12244,0.08942,0.06011,1.18081,2.34626,3.72284,1.24108,9.4258e-05,9.4258e-05,9.4258e-05
31,19130.1,1.21803,2.36889,1.89666,1.28688,0.4814,0.13296,0.09386,0.0692,0.48526,0.12716,0.09159,0.06164,1.17233,2.32855,3.73342,1.23497,9.406e-05,9.406e-05,9.406e-05
32,22791.2,1.20807,2.34793,1.87312,1.27961,0.48964,0.13286,0.09656,0.07142,0.48796,0.12997,0.09432,0.06355,1.16411,2.31188,3.73613,1.22856,9.3862e-05,9.3862e-05,9.3862e-05
33,26455.3,1.19491,2.32479,1.84686,1.27164,0.48372,0.13568,0.09846,0.07296,0.48997,0.13062,0.09608,0.06489,1.15584,2.29426,3.73553,1.22272,9.3664e-05,9.3664e-05,9.3664e-05
34,3693.05,1.22776,2.38514,1.92467,1.29768,0.48522,0.1356,0.09955,0.07368,0.48877,0.13127,0.09716,0.06547,1.15291,2.28881,3.77446,1.22095,9.3466e-05,9.3466e-05,9.3466e-05
35,7382.12,1.21946,2.3707,1.89866,1.2888,0.48085,0.13832,0.10052,0.07416,0.48236,0.13198,0.09783,0.06573,1.14877,2.28076,3.81226,1.21811,9.3268e-05,9.3268e-05,9.3268e-05
36,11105,1.20655,2.34727,1.87291,1.27836,0.48449,0.13546,0.10179,0.07499,0.48496,0.13217,0.09914,0.06659,1.14414,2.27165,3.81467,1.21501,9.307e-05,9.307e-05,9.307e-05
37,14750.7,1.19642,2.32694,1.85141,1.27358,0.48599,0.13964,0.10397,0.07678,0.485,0.13689,0.10139,0.06799,1.13963,2.26111,3.80818,1.21177,9.2872e-05,9.2872e-05,9.2872e-05
38,18416,1.19206,2.31757,1.83176,1.26737,0.48089,0.14035,0.10605,0.07821,0.48237,0.13537,0.10354,0.06929,1.13403,2.24885,3.79989,1.20781,9.2674e-05,9.2674e-05,9.2674e-05
